Size,Generator,Algorithm,TimeMs,Comparisons
100,random,MergeSort,0.146667,848
100,random,QuickSort,0.02525,532
100,random,MSD Radix,0.137,0
100,random,MSD+Quick,0.0195,57
100,reversed,MergeSort,0.122042,533
100,reversed,QuickSort,0.090625,2522
100,reversed,MSD Radix,0.143875,0
100,reversed,MSD+Quick,0.016959,75
100,almost_sorted,MergeSort,0.126458,861
100,almost_sorted,QuickSort,0.03125,781
100,almost_sorted,MSD Radix,0.130292,0
100,almost_sorted,MSD+Quick,0.017542,66
200,random,MergeSort,0.267042,2109
200,random,QuickSort,0.055042,1467
200,random,MSD Radix,0.261833,0
200,random,MSD+Quick,0.033,191
200,reversed,MergeSort,0.251958,1239
200,reversed,QuickSort,0.210708,6864
200,reversed,MSD Radix,0.263459,0
200,reversed,MSD+Quick,0.032625,265
200,almost_sorted,MergeSort,0.27225,1838
200,almost_sorted,QuickSort,0.098834,2581
200,almost_sorted,MSD Radix,0.2745,0
200,almost_sorted,MSD+Quick,0.036375,217
300,random,MergeSort,0.518334,3556
300,random,QuickSort,0.096541,2009
300,random,MSD Radix,0.353667,0
300,random,MSD+Quick,0.061125,433
300,reversed,MergeSort,0.433166,2145
300,reversed,QuickSort,0.419333,11616
300,reversed,MSD Radix,0.364125,0
300,reversed,MSD+Quick,0.06225,591
300,almost_sorted,MergeSort,0.419167,3056
300,almost_sorted,QuickSort,0.14175,3832
300,almost_sorted,MSD Radix,0.361917,0
300,almost_sorted,MSD+Quick,0.056625,462
400,random,MergeSort,0.691375,5157
400,random,QuickSort,0.142,3208
400,random,MSD Radix,0.41675,0
400,random,MSD+Quick,0.084583,681
400,reversed,MergeSort,0.587625,3142
400,reversed,QuickSort,0.51375,14525
400,reversed,MSD Radix,0.453375,0
400,reversed,MSD+Quick,0.095084,1098
400,almost_sorted,MergeSort,0.556875,4237
400,almost_sorted,QuickSort,0.210875,5803
400,almost_sorted,MSD Radix,0.415625,0
400,almost_sorted,MSD+Quick,0.081625,784
500,random,MergeSort,0.907958,6682
500,random,QuickSort,0.189667,4730
500,random,MSD Radix,0.499541,0
500,random,MSD+Quick,0.109583,1006
500,reversed,MergeSort,0.747209,4151
500,reversed,QuickSort,0.655459,19561
500,reversed,MSD Radix,0.477167,0
500,reversed,MSD+Quick,0.161667,1656
500,almost_sorted,MergeSort,0.706291,5353
500,almost_sorted,QuickSort,0.363583,10663
500,almost_sorted,MSD Radix,0.473458,0
500,almost_sorted,MSD+Quick,0.169459,1169
600,random,MergeSort,1.09888,8478
600,random,QuickSort,0.232875,5752
600,random,MSD Radix,0.567584,0
600,random,MSD+Quick,0.137917,1422
600,reversed,MergeSort,0.933417,4898
600,reversed,QuickSort,0.936666,25559
600,reversed,MSD Radix,0.596125,0
600,reversed,MSD+Quick,0.156166,2346
600,almost_sorted,MergeSort,0.868917,6599
600,almost_sorted,QuickSort,0.467917,13381
600,almost_sorted,MSD Radix,0.525209,0
600,almost_sorted,MSD+Quick,0.133459,1533
700,random,MergeSort,1.30542,10267
700,random,QuickSort,0.292625,7164
700,random,MSD Radix,0.629959,0
700,random,MSD+Quick,0.165042,1682
700,reversed,MergeSort,1.40496,5897
700,reversed,QuickSort,1.096,28422
700,reversed,MSD Radix,0.626792,0
700,reversed,MSD+Quick,0.197083,3157
700,almost_sorted,MergeSort,1.06412,8211
700,almost_sorted,QuickSort,0.509167,14932
700,almost_sorted,MSD Radix,0.578667,0
700,almost_sorted,MSD+Quick,0.162625,2013
800,random,MergeSort,1.50575,12112
800,random,QuickSort,0.324792,8090
800,random,MSD Radix,0.73575,0
800,random,MSD+Quick,0.195291,2069
800,reversed,MergeSort,1.24388,6892
800,reversed,QuickSort,1.04354,31610
800,reversed,MSD Radix,0.732333,0
800,reversed,MSD+Quick,0.238167,4060
800,almost_sorted,MergeSort,1.17788,9291
800,almost_sorted,QuickSort,0.547875,15914
800,almost_sorted,MSD Radix,0.697458,0
