Size,Generator,Algorithm,TimeMs,Comparisons
100,random,MergeSort,0.373209,844
100,random,QuickSort,0.070041,606
100,random,MSD Radix,0.342833,0
100,random,MSD+Quick,0.048625,50
100,reversed,MergeSort,0.320666,517
100,reversed,QuickSort,0.226,2653
100,reversed,MSD Radix,0.309667,0
100,reversed,MSD+Quick,0.0405,68
100,almost_sorted,MergeSort,0.266625,794
100,almost_sorted,QuickSort,0.083667,1037
100,almost_sorted,MSD Radix,0.283417,0
100,almost_sorted,MSD+Quick,0.038667,62
200,random,MergeSort,0.657083,2116
200,random,QuickSort,0.115792,1434
200,random,MSD Radix,0.517875,0
200,random,MSD+Quick,0.070709,210
200,reversed,MergeSort,0.489958,1210
200,reversed,QuickSort,0.456,7005
200,reversed,MSD Radix,0.499,0
200,reversed,MSD+Quick,0.072667,288
200,almost_sorted,MergeSort,0.424583,1753
200,almost_sorted,QuickSort,0.141667,2195
200,almost_sorted,MSD Radix,0.461917,0
200,almost_sorted,MSD+Quick,0.060542,234
300,random,MergeSort,0.750042,3610
300,random,QuickSort,0.154875,2457
300,random,MSD Radix,0.544917,0
300,random,MSD+Quick,0.089834,408
300,reversed,MergeSort,0.638417,2066
300,reversed,QuickSort,0.54625,11135
300,reversed,MSD Radix,0.593792,0
300,reversed,MSD+Quick,0.093667,599
300,almost_sorted,MergeSort,0.553,2905
300,almost_sorted,QuickSort,0.241917,5134
300,almost_sorted,MSD Radix,0.495875,0
300,almost_sorted,MSD+Quick,0.081125,466
400,random,MergeSort,0.914708,5155
400,random,QuickSort,0.169708,3179
400,random,MSD Radix,0.550333,0
400,random,MSD+Quick,0.110625,686
400,reversed,MergeSort,0.7665,2990
400,reversed,QuickSort,0.679166,15949
400,reversed,MSD Radix,0.635,0
400,reversed,MSD+Quick,0.113458,1046
400,almost_sorted,MergeSort,0.77525,4102
400,almost_sorted,QuickSort,0.324333,7616
400,almost_sorted,MSD Radix,0.514792,0
400,almost_sorted,MSD+Quick,0.10425,756
500,random,MergeSort,0.988583,6725
500,random,QuickSort,0.207083,4441
500,random,MSD Radix,0.561083,0
500,random,MSD+Quick,0.12425,1010
500,reversed,MergeSort,0.81475,4280
500,reversed,QuickSort,0.792167,20674
500,reversed,MSD Radix,0.546166,0
500,reversed,MSD+Quick,0.130041,1641
500,almost_sorted,MergeSort,0.696167,4852
500,almost_sorted,QuickSort,0.378,10406
500,almost_sorted,MSD Radix,0.475834,0
500,almost_sorted,MSD+Quick,0.107125,1148
600,random,MergeSort,1.11392,8540
600,random,QuickSort,0.21975,5061
600,random,MSD Radix,0.573625,0
600,random,MSD+Quick,0.139458,1318
600,reversed,MergeSort,0.927958,5029
600,reversed,QuickSort,0.790042,23918
600,reversed,MSD Radix,0.554875,0
600,reversed,MSD+Quick,0.154,2316
600,almost_sorted,MergeSort,0.823042,6851
600,almost_sorted,QuickSort,0.420125,12975
600,almost_sorted,MSD Radix,0.541792,0
600,almost_sorted,MSD+Quick,0.128,1574
700,random,MergeSort,1.24108,10192
700,random,QuickSort,0.2445,5883
700,random,MSD Radix,0.607542,0
700,random,MSD+Quick,0.156583,1708
700,reversed,MergeSort,0.990542,6124
700,reversed,QuickSort,0.839625,28180
700,reversed,MSD Radix,0.6,0
700,reversed,MSD+Quick,0.173958,3180
700,almost_sorted,MergeSort,0.963084,8584
700,almost_sorted,QuickSort,0.539417,16872
700,almost_sorted,MSD Radix,0.571583,0
700,almost_sorted,MSD+Quick,0.1475,2015
800,random,MergeSort,1.39829,12212
800,random,QuickSort,0.279417,7491
800,random,MSD Radix,0.66325,0
800,random,MSD+Quick,0.172917,2031
800,reversed,MergeSort,1.181,7185
800,reversed,QuickSort,0.998,32396
800,reversed,MSD Radix,0.627459,0
800,reversed,MSD+Quick,0.229958,4134
800,almost_sorted,MergeSort,1.10375,9798
800,almost_sorted,QuickSort,0.648209,20317
800,almost_sorted,MSD Radix,0.610083,0
800,almost_sorted,MSD+Quick,0.200792,2484
900,random,MergeSort,1.51188,14060
900,random,QuickSort,0.296208,8061
900,random,MSD Radix,0.641541,0
900,random,MSD+Quick,0.220583,2643
900,reversed,MergeSort,1.30125,8229
900,reversed,QuickSort,1.12029,37030
900,reversed,MSD Radix,0.734083,0
900,reversed,MSD+Quick,0.255958,4925
900,almost_sorted,MergeSort,1.20762,10862
900,almost_sorted,QuickSort,0.546,17136
900,almost_sorted,MSD Radix,0.706917,0
900,almost_sorted,MSD+Quick,0.197,3051
1000,random,MergeSort,1.76871,15956
1000,random,QuickSort,0.381708,10331
1000,random,MSD Radix,0.756916,0
1000,random,MSD+Quick,0.2195,2975
1000,reversed,MergeSort,1.48671,9555
1000,reversed,QuickSort,1.22383,40904
1000,reversed,MSD Radix,0.778667,0
1000,reversed,MSD+Quick,0.3035,6154
1000,almost_sorted,MergeSort,1.36283,12482
1000,almost_sorted,QuickSort,0.861791,27832
1000,almost_sorted,MSD Radix,0.764792,0
1000,almost_sorted,MSD+Quick,0.239209,3641
1100,random,MergeSort,2.01454,17890
1100,random,QuickSort,0.409417,10758
1100,random,MSD Radix,0.888042,0
1100,random,MSD+Quick,0.26025,3421
1100,reversed,MergeSort,1.84187,10631
1100,reversed,QuickSort,1.29596,46370
1100,reversed,MSD Radix,0.797667,0
1100,reversed,MSD+Quick,0.370084,7586
1100,almost_sorted,MergeSort,1.688,13265
1100,almost_sorted,QuickSort,0.977333,31781
1100,almost_sorted,MSD Radix,0.857,0
1100,almost_sorted,MSD+Quick,0.263166,4202
1200,random,MergeSort,2.36338,19685
1200,random,QuickSort,0.493208,11683
1200,random,MSD Radix,0.908542,0
1200,random,MSD+Quick,0.270416,3767
1200,reversed,MergeSort,1.90904,11593
1200,reversed,QuickSort,1.60892,50688
1200,reversed,MSD Radix,0.943292,0
1200,reversed,MSD+Quick,0.393292,8961
1200,almost_sorted,MergeSort,1.81858,15747
1200,almost_sorted,QuickSort,0.833583,25778
1200,almost_sorted,MSD Radix,0.836125,0
1200,almost_sorted,MSD+Quick,0.287875,4819
1300,random,MergeSort,2.49667,22035
1300,random,QuickSort,0.494916,14082
1300,random,MSD Radix,1.0655,0
1300,random,MSD+Quick,0.310709,4287
1300,reversed,MergeSort,2.14292,12306
1300,reversed,QuickSort,1.66271,55094
1300,reversed,MSD Radix,1.02146,0
1300,reversed,MSD+Quick,0.449583,10276
1300,almost_sorted,MergeSort,1.85933,15826
1300,almost_sorted,QuickSort,1.26117,40668
1300,almost_sorted,MSD Radix,1.00025,0
1300,almost_sorted,MSD+Quick,0.340167,5578
1400,random,MergeSort,2.66646,24092
1400,random,QuickSort,0.556333,15354
1400,random,MSD Radix,1.12671,0
1400,random,MSD+Quick,0.368,4767
1400,reversed,MergeSort,2.16454,13308
1400,reversed,QuickSort,1.87462,60374
1400,reversed,MSD Radix,1.1035,0
1400,reversed,MSD+Quick,0.518667,11942
1400,almost_sorted,MergeSort,2.05942,18683
1400,almost_sorted,QuickSort,1.38587,42658
1400,almost_sorted,MSD Radix,1.1015,0
1400,almost_sorted,MSD+Quick,0.359209,6196
1500,random,MergeSort,2.87042,26046
1500,random,QuickSort,0.554834,14611
1500,random,MSD Radix,1.25533,0
1500,random,MSD+Quick,0.376625,5343
1500,reversed,MergeSort,2.38133,14708
1500,reversed,QuickSort,2.09938,65103
1500,reversed,MSD Radix,1.24008,0
1500,reversed,MSD+Quick,0.589541,13678
1500,almost_sorted,MergeSort,2.0865,19460
1500,almost_sorted,QuickSort,1.54971,49349
1500,almost_sorted,MSD Radix,1.20558,0
1500,almost_sorted,MSD+Quick,0.392542,6890
1600,random,MergeSort,3.04004,28064
1600,random,QuickSort,0.613667,16601
1600,random,MSD Radix,1.31792,0
1600,random,MSD+Quick,0.409584,5982
1600,reversed,MergeSort,2.65421,16895
1600,reversed,QuickSort,2.27742,71200
1600,reversed,MSD Radix,1.28308,0
1600,reversed,MSD+Quick,0.638917,15060
1600,almost_sorted,MergeSort,2.37513,21819
1600,almost_sorted,QuickSort,1.68879,53165
1600,almost_sorted,MSD Radix,1.19621,0
1600,almost_sorted,MSD+Quick,0.427541,7554
1700,random,MergeSort,3.31304,30525
1700,random,QuickSort,0.687459,17669
1700,random,MSD Radix,1.50358,0
1700,random,MSD+Quick,0.482292,6410
1700,reversed,MergeSort,2.79204,16966
1700,reversed,QuickSort,2.32642,75714
1700,reversed,MSD Radix,1.45217,0
1700,reversed,MSD+Quick,0.683584,17002
1700,almost_sorted,MergeSort,2.46617,22895
1700,almost_sorted,QuickSort,1.77988,58047
1700,almost_sorted,MSD Radix,1.50263,0
1700,almost_sorted,MSD+Quick,0.45975,8312
1800,random,MergeSort,3.48488,32480
1800,random,QuickSort,0.806834,19683
1800,random,MSD Radix,1.63158,0
1800,random,MSD+Quick,0.45075,7093
1800,reversed,MergeSort,2.86379,19111
